# Shared terms. english<TAB>thai<TAB>note
# Append anything a later batch will also hit. Weapons, stats and status effects recur everywhere.

# --- core nouns ---
Relic	เรลิค	tarot-themed passive items; keep as a loanword, ศักดิ์สิทธิ์/วัตถุมงคล reads far too solemn
Pearl	ไข่มุก
Charge	สะสมพลัง
Dodge	หลบ	源 翻滚 is a roll, but หลบ reads better on a button
Specialization	ความชำนาญ	Novice/Advanced/Epic/Legendary → ขั้นต้น/ขั้นสูง/เอปิก/ตำนาน
Squad / Team	ทีม	Squad Level = เลเวลทีม, Squad Skill Points = แต้มสกิลทีม
Level	เลเวล	the stat/rank; "Reach Level" = ถึงเลเวล
Points	แต้ม	skill/talent points
Camp	แคมป์
Run	รอบ	one roguelike run; "Start a New Run" = เล่นอีกรอบ
Coins	เหรียญ
Inventory	กระเป๋า
Story Fragment	เศษเรื่องราว
Hunter's Notes	บันทึกนักล่า
Item Encyclopedia	สารานุกรมไอเทม
Emote	อิโมท
Forbidden Forging	หลอมต้องห้าม	禁忌锻造, the relic mechanic only. Plain "Forge" (the blacksmith verb) = ตีอาวุธ, Forge Station = แท่นตีอาวุธ
Distortion	การบิดเบือน	畸变; Distortion Node = จุดบิดเบือน
Bullet Attack	พลังโจมตีกระสุน
Final DMG	ความเสียหายสุดท้าย
Elemental Damage	ความเสียหายธาตุ
Act	องก์	chapter headings: "Act I" = องก์ที่ 1

# --- rarity tiers: see the weapon-batch block below for Common/Rare/Epic/Legendary ---
Mythic	มิธิค	神话, the tier above Legendary

# --- difficulty tiers (the in-game difficulty picker, in order) ---
Hell	นรก
Reality	ความจริง
# Journey/Common/Hard/Nightmare: see the story batch block below

# --- elements: see the weapon-batch block below. Note Freeze != Frost:
# Freeze (冻结, the status) = แช่แข็ง; Frost (the element) = เยือกแข็ง; Ice = น้ำแข็ง

# --- damage-type nouns (used as "<type> DMG") ---
Hemorrhage	เลือดออก
Disruption	ปั่นป่วน
Corrosion	กัดกร่อน
Ignition	ลุกไหม้
Transmutation	แปรปรวน	异常

# --- multiplayer ---
Lobby / Room	ห้อง
Host	โฮสต์
Lobby Code	รหัสห้อง
Single Player	เล่นคนเดียว
Multiplayer	เล่นหลายคน
Reconnect	เชื่อมต่อใหม่

# --- proper nouns ---
Alicia	อลิเซีย
Ella	เอลลา
Holy Sun Calendar	ศักราชสุริยัน	圣阳历

# --- added by the weapon / weapon-part / item batch ---

# rarity tiers (appear as bare words AND inside <color> tags)
Common	ธรรมดา
Rare	หายาก
Epic	มหากาพย์
Legendary	ตำนาน
Quality	คุณภาพ

# elements — these five recur on relics, weapons, potions, shop text
Element	ธาตุ
Physical	กายภาพ
Frost	เยือกแข็ง	Frost is เยือกแข็ง, plain Ice is น้ำแข็ง — keep them apart
Lightning	สายฟ้า
Acid	กรด
Fire	เพลิง	ไฟ only where เพลิง is too heavy (Ember Spark ประกายไฟ)
Ice	น้ำแข็ง

# weapon stats
Fire Rate	อัตรายิง
Reload Speed	ความเร็วรีโหลด
Movement Speed	ความเร็วเคลื่อนที่
Armor	เกราะ	source EN says Armor, ZH says 护盾 shield; เกราะ, not โล่
Critical Chance	อัตราคริติคอล
Final Damage	ความเสียหายสุดท้าย
Damage Taken	ความเสียหายที่ได้รับ
Projectile	ลูกกระสุน
Drop Rate	อัตราดรอป
Stacks	ชั้น	"Stacks +10" -> "+10 ชั้น"
permanently	ถาวร	trails the number: "อัตรายิง +20% ถาวร"
Restore	ฟื้น

# named mechanics / status keywords (wrapped in <link> tags in-game)
Smite	ทุบหนัก
Ember	เถ้าเพลิง	Ashes (the weapon) is เถ้าถ่าน — different word on purpose
Growth	เติบโต

# item / economy nouns
Potion	ยา	prefix, not ยาน้ำ/น้ำยา — "Fire Rate Potion" -> "ยาอัตรายิง"
Unidentified	ปริศนา	suffix: "Unidentified Relic" -> "เรลิคปริศนา"
Coin	เหรียญ
Shop	ร้านค้า
Refresh	รีเฟรช
Inventory	กระเป๋า
Hunter's Notes	บันทึกนักล่า
run (one playthrough)	เกม	"clearing a run" -> "ผ่านเกม"

# recurring weapon nouns
Dominator	อัศวิน	the Four Horsemen set; ZH says 骑士 knight
Musket	ปืนคาบศิลา
Crossbow	หน้าไม้
Cannon	ปืนใหญ่
Bow	ธนู
Barrel	ลำกล้อง
Magazine	แม็กกาซีน
Bulwark	ป้อมปราการ
Overload	โอเวอร์โหลด

# ==========================================================================
# --- added by c_extraeffect (batch 3, rows 1-431) ---
# SENTENCE PATTERNS. ExtraEffect is 40 near-identical modifiers in a row; a
# player scanning them must see ONE grammar. Reuse these shapes verbatim.
# ==========================================================================

# --- the six shapes that carry the whole table ---
X +{N}%	X +{N}%	NEVER "เพิ่ม X ขึ้น N%". Always the bare +N% / -N% form, stat first: "อัตรายิง +20%"
Increases X by {N}%	X +{N}%	same shape — collapse the verb, English "increases/grants/raises" all vanish
for {N} seconds	นาน {N} วินาที	ALWAYS trails the whole clause, never leads it: "…ถือเป็น [นัดสุดท้าย] นาน 8 วินาที"
deals <El> Damage equal to {N}% Bullet Attack	สร้างความเสียหาย<ธาตุ> {N}% ของพลังโจมตีกระสุน	the single most common sentence in the file
dealing {N} <El> Battle Skill Damage	สร้างความเสียหายสกิลรบ<ธาตุ> {N}	flat point values stay bare — no หน่วย, no แต้ม
Every {N} shots / Every {N} seconds	ทุก {N} นัดที่ยิง / ทุก {N} วินาที

# --- triggers and conditions ---
While shooting:	เมื่อยิง:
When shooting hits enemies:	เมื่อยิงโดนศัตรู:
on hit	เมื่อโจมตีโดน
On using Battle Skill:	เมื่อใช้สกิลรบ:
On Ultimate:	เมื่อใช้ท่าไม้ตาย:
Reload: (as a trigger label)	รีโหลด:
Full Charge	สะสมพลังเต็ม	Charging = สะสมพลัง, Charge Time = เวลาสะสมพลัง
Your next shot	นัดถัดไป	"the next bullet" is also นัดถัดไป — do not vary
Resets after reloading	รีเซ็ตหลังรีโหลด
enemies affected by [X]	ศัตรูที่ติด [X]	one phrase for affected-by / in the state of / suffering
if this attack kills the target	ถ้าความเสียหายนี้สังหารเป้าหมาย	the on-kill clause

# --- proc verbs. ONE verb for every proc in the game. ---
trigger / triggers	กระตุ้น	never ทริกเกอร์, never ทำให้เกิด. "directly triggers" = กระตุ้น…ทันที
guarantees a trigger	กระตุ้น…แน่นอน	"always / guaranteed" on a non-proc = …เสมอ (คริติคอลเสมอ)
has a {N}% chance to	มีโอกาส {N}%
Adaptive Chance	โอกาสปรับตัว	<link=9035>; renders "มี<โอกาสปรับตัว> 25%"
applies / inflicts (a mark)	ติด	"applies Death Mark" = ติดตราแห่งความตาย
Always deals Critical Hits	คริติคอลเสมอ

# --- stacks, areas, magnitudes ---
per stack / for each stack of X	ทุก 1 ชั้นของ X	Stacks = ชั้น (already in glossary); "1 stack of X" = X 1 ชั้น
up to {N} stacks	สูงสุด {N} ชั้น
Stacks infinitely	ซ้อนได้ไม่จำกัด	"can stack" = ซ้อนได้
AoE (adjective on a damage noun)	แบบวงกว้าง	"สร้างความเสียหายกายภาพแบบวงกว้าง 200%"
to enemies in the area	แก่ศัตรูในวง	in a wide area = แก่ศัตรูในวงกว้าง; in a small area = แก่ศัตรูในวงแคบ
doubled	คูณสอง	"double damage" = ความเสียหายสองเท่า, triple = สามเท่า
pierce / piercing	เจาะทะลุ
invincible / takes no damage	ไม่รับความเสียหาย	the gold <color> token "invincibility" alone = อมตะ

# --- stat nouns this table leans on ---
Bullet Attack	พลังโจมตีกระสุน	appears in ~40% of rows; never shorten
Bullet Speed	ความเร็วกระสุน
Bullet Damage Cap	พลังโจมตีกระสุนสูงสุด
Projectile	ลูกกระสุน	kept from the weapon batch. Bullet stays plain กระสุน
Additional Projectile	ลูกกระสุนส่วนเพิ่ม	额外弹道 — the extra streams, NOT ลูกกระสุนเพิ่ม (ambiguous)
Battle Skill Damage	ความเสียหายสกิลรบ
Fire Damage	ความเสียหายเพลิง	Lightning=สายฟ้า Frost=เยือกแข็ง Acid=กรด Physical=กายภาพ True=จริง
Transmutation Damage	ความเสียหายแปรปรวน
Critical Chance	อัตราคริติคอล	Critical Damage = ความเสียหายคริติคอล
Bounce	การเด้ง
turret	ป้อมปืน
vulnerability cap	เพดานเปราะบาง	易伤上限
Freeze Buildup	ค่าแช่แข็ง	Corrosion Value = ค่ากัดกร่อน — the ค่า… shape for any buildup meter

# --- <link> keywords. Bracket form kept, id is load-bearing. ---
[Hemorrhage] 9011	[เลือดออก]
[Freeze] 9012	[แช่แข็ง]
[Disruption] 9013	[ปั่นป่วน]
[Corrosion] 9014	[กัดกร่อน]
[Ignition] 9015	[ลุกไหม้]
[Overload] 9021	[โอเวอร์โหลด]
[Ember] 9023	[เถ้าเพลิง]
[Growth] 9024	[เติบโต]
[Armor] 9025	[เกราะ]
[First Shot] 9031	[นัดแรก]	初弹
[Final Shot] 9032	[นัดสุดท้าย]	末弹 — very frequent
[Transmutaion] 9033	[แปรปรวน]	source misspells it; key is the id, not the word
Smite 9034	ทุบหนัก
[Burn]	[เผาไหม้]
[Plague]	[โรคระบาด]
[Heating Up]	[ร้อนระอุ]
[Thunder Call]	[เรียกสายฟ้า]
[Multi-Split]	[แตกหลายหัว]	[Wild Split] = [แตกคลั่ง]

# --- effect-name suffixes (ExtraEffect.EffectName.*) ---
<Name> Active	<ชื่อ> แอ็กทีฟ	主动. Passive = <ชื่อ> พาสซีฟ
Lv.{N} <X> +	เสริม<X> Lv.{N}	一级枪法强化 = เสริมแม่นปืน Lv.1; bare "X +" = เสริมX
Entwined Fire	เพลิงพัน	缠火

# --- MARKUP RULE (matters, easy to get wrong) ---
# "<color=el>Fire</color><color=#a024ff> Battle Skill Damage</color>" — two ADJACENT spans.
# Thai word order needs the head noun first, so SWAP them:
#   <color=#a024ff>ความเสียหายสกิลรบ</color><color=el>เพลิง</color>
# When the source NESTS them "<color=el>Fire <color=#a024ff>BSD</color></color>", keep the nesting:
#   <color=el><color=#a024ff>ความเสียหายสกิลรบ</color>เพลิง</color>
# Either way every tag survives byte-for-byte; only their order moves.
#
# Backslashes in this table are DOUBLED in the source (\\n, <link=\\"9015\\">).
# Copy them doubled. A single \n will not match the shipped file.
#
# Drop English sentence-final periods. Thai separates clauses with a space.

# --- added by the character / area / difficulty batch ---

# people — transliterated by ear, use these exact spellings in dialogue
Jester	เจสเตอร์
Lanny	แลนนี
Marcus	มาร์คัส
Jenny	เจนนี
Elena	เอเลนา
Long Tong	หลงถง	ZH 龙瞳, a Chinese name — read from the pinyin, not the English
Stella	สเตลลา
Lily	ลิลี่	Priestess Lily -> นักบวชลิลี่
Labi	ลาบี
Hotty	ฮ็อตตี้	ZH 小哈提
Ella	เอลลา
Alicia	อลิเซีย
Raven	เรเวน	Scholar Raven -> นักปราชญ์เรเวน
Lorelei	โลเรไล
Wavelock	เวฟล็อค	the city; shows up in half the map names

# recurring role nouns — these build most enemy names
Hunter	นักล่า	the player's profession, 80+ hits in the source
the Order	ลัทธิ	suffix แห่งลัทธิ on enemies: The Order Priest -> นักบวชแห่งลัทธิ
Witch	แม่มด
Priest	นักบวช	ZH 神官
Priest (clergyman)	บาทหลวง	ZH 教士 — only Priest Wraith; kept apart from นักบวช on purpose
Sister (nun)	แม่ชี
Cardinal	คาร์ดินัล
Wraith	วิญญาณ	prefix: Merchant Wraith -> วิญญาณพ่อค้า
Corrupted	เสื่อมทราม	suffix: Corrupted Captain -> กัปตันเสื่อมทราม
Revived	คืนชีพ	suffix: Revived Priest -> นักบวชคืนชีพ
Chimera	ไคเมร่า
Slime	สไลม์
Mimic	มิมิก
Iron Maiden	ไอรอนเมเดน
Frost Mage	จอมเวทเยือกแข็ง
Merchant	พ่อค้า
Diviner	หมอดู
Quartermaster	นายทหารเสบียง
Alchemist	นักเล่นแร่แปรธาตุ
Blacksmith	ช่างตีเหล็ก
Chest	หีบสมบัติ

# areas
Temporary Camp	ค่ายชั่วคราว
Seabreeze Woods	ป่าลมทะเล
Seabreeze Village	หมู่บ้านลมทะเล
Crossroads	สี่แยก
Gate Bridge	สะพานประตูเมือง
King's Avenue	ถนนราชา
Lower Residences	ย่านที่พักเมืองล่าง
Upper Residences	ย่านที่พักเมืองบน
Harbor Market	ย่านการค้าท่าเรือ
Air Harbor	ท่าอากาศ	Wavelock Air Harbor -> ท่าอากาศเวฟล็อค
Fortress	ป้อม	Short on purpose; Wavelock Fortress -> ป้อมเวฟล็อค
Fortress Sewer	ท่อระบายป้อม
Specimen Disposal Facility	ที่ทิ้งตัวอย่างทดลอง
Wavelock Laboratory	ห้องแล็บเวฟล็อค
Chaos Quarry	เหมืองโกลาหล
Throne Chamber	ห้องบัลลังก์
Sky Corridor	ระเบียงลอยฟ้า
Sky Garden	สวนลอยฟ้า
Ritual Hall	หอพิธีกรรม
Secret Passage	ทางลับ
Secret Realm	แดนลับ	ZH 秘境 / 大秘藏; Secret Realm Chest -> หีบสมบัติแดนลับ
The Order Fleet	กองเรือลัทธิ

# difficulty tiers and run systems
Journey	เดินทาง	easiest tier
Common (difficulty)	ปกติ	ZH 普通 — the rarity tier Common stays ธรรมดา
Hard	ยาก
Nightmare	ฝันร้าย
Hell	นรก
Reality	ความจริง	hardest tier
Chaos Battle Scar	รอยแผลโกลาหล	counted with รอย: "เผยรอยแผลโกลาหล 2 รอย"; also in gameui.tsv
Soul Gem	โซลเจม	ZH 红魂
Calamity	ภัยพิบัติ
Squad	ทีม
Talent Tree	ต้นไม้พรสวรรค์
Emote Wheel	วงล้ออีโมท
Orb Board	กระดานลูกแก้ว	ZH 宝珠盘 — orb here is 宝珠, not the ไข่มุก Pearl
Buildup	ค่าสะสม	"[Freeze] Buildup" -> "[แช่แข็ง] ค่าสะสม"

# status buildups (c_fightingattributes)
Hemorrhage	เลือดออก	same word as Bleed
Disruption	ปั่นป่วน
Corrosion	กัดกร่อน
Ignition	ลุกไหม้

# NPC interaction verbs
Talk	พูดคุย
Inspect	ดู
Eavesdrop	แอบฟัง
Forge	ตีอาวุธ
Divine (verb)	ทำนาย
Rescue	ปลดปล่อย
Embark	ออกเดินทาง

# --- added by the Blood Moon update (buildid 24396512) ---
Blood Moon	จันทร์เลือด
Treasure Seeker	นักหาสมบัติ
Monster	อสูร

# --- added by the relic batch (c_relic_part1) ---

# relic name morphology
Forged <name>	หลอม·<name>	禁锻· prefix on forbidden-forged relics; the UI term stays หลอมต้องห้าม
Amulet	เครื่องราง
Orb	ลูกแก้ว	宝珠
Round (ammo)	กระสุน	弹丸/弹头; Frost Round = กระสุนเยือกแข็ง
Scroll	คัมภีร์	卷轴; shorter than ม้วนคัมภีร์
Chalice	จอก	圣杯
Mark	ตรา	印记; Steel Mark = ตราเหล็กกล้า
Device	อุปกรณ์	装置
Crown	มงกุฎ
Gauntlets / Gloves	ถุงมือ
Charged (energy-storing)	ประจุ	蓄能 on the lightning relics: Charged Ring = แหวนประจุ
Thunder (雷鸣)	ฟ้าคำราม	Thunder Crown = มงกุฎฟ้าคำราม; plain Lightning stays สายฟ้า
Thunder Dragon	มังกรสายฟ้า
Molten Core	แกนหลอมเหลว	熔核
Five-Color	ห้าสี	五色

# named triggers wrapped in <link> tags on relics
[Embarkation]	[ออกเดินทาง]	link 9001, 启程
[Destination]	[ปลายทาง]	link 9002, 终点
[Shatter]	[แตกสลาย]	link 9022, 碎裂

# damage-source nouns in relic descriptions
Battle Skill Damage	ความเสียหายสกิลรบ
True Damage	ความเสียหายจริง
Bullet Damage	ความเสียหายกระสุน
Transmutation Damage	ความเสียหายแปรปรวน
Max Health	พลังชีวิตสูงสุด

# recurring description phrasing — keep these identical across relic batches
On Ultimate:	เมื่อใช้ท่าไม้ตาย:
On triggering X / On X trigger	เมื่อเกิดX
When carried:	เมื่อพกพา:
At the end of Combat:	เมื่อจบการต่อสู้:
On dismantling items:	เมื่อแยกชิ้นส่วนไอเทม:
X% chance to …	มีโอกาส X% …
Restores X% of your lost Health	ฟื้นพลังชีวิตที่เสียไป X%
is also considered …	นับเป็น…ด้วย
Randomly grants	สุ่มรับ

# relic-specific proper nouns
Divine Lightning	สายฟ้าทัณฑ์สวรรค์	神罚之雷
Lightning Strike	สายฟ้าฟาด	落雷
Moonlight	แสงจันทร์
[Moon Blessing]	[พรจันทรา]
Solar Flame	เปลวสุริยะ	太阳烈焰
[Assassination Ready]	[พร้อมลอบสังหาร]	刺杀准备
Upright / Reversed (tarot)	ตั้งตรง / กลับหัว	正位/逆位; [ไพ่ทาโรต์]ตั้งตรง
[Heads] / [Tails]	[หัว] / [ก้อย]
Hydra	ไฮดรา
Lich	ลิช
Lanny	แลนนี

# --- added by the pearl / tarot / team-skill / global-parameters batch ---

# tarot arcana names (also reused by Pearl "Essence" and curse pearls)
The Fool	คนโง่
The Magician	นักมายากล
The High Priestess	นักบวชหญิง
The Empress	จักรพรรดินี
The Emperor	จักรพรรดิ
The Hierophant	พระสันตะปาปา
The Lovers	คู่รัก
The Chariot	ราชรถ
Strength (tarot)	พลัง
The Hermit	ฤๅษี
Wheel of Fortune	กงล้อแห่งโชคชะตา
Justice	ความยุติธรรม
The Hanged Man	คนแขวนคอ
Death (tarot)	ความตาย	ZH 死神; the card, not the verb
Temperance	ความพอดี
The Devil	ปีศาจ
The Tower	หอคอย	White Tower (白塔) = หอคอยขาว
The Star	ดวงดาว
The Moon	ดวงจันทร์
The Sun	ดวงอาทิตย์
Judgement	การพิพากษา
The World	โลก
(Reversed)	(กลับหัว)	suffix on card names: The Fool (Reversed) -> คนโง่ (กลับหัว)

# named triggers wrapped in <link> tags (joins the 9001/9002/9022 block above)
[Resonance Level]	[เลเวลเรโซแนนซ์]	link 9026, 共鸣等级
[Adaptive Chance]	[โอกาสปรับตัว]	link 9035 — form settled by c_extraeffect; keep the <color=#99b7bb> wrapper

# named states on pearls / team skills
[Heretic]	[คนนอกรีต]	异端
[Nether Pact]	[พันธะยมโลก]	冥契
[Brief Respite]	[พักหายใจ]	稍作缓息
[Fight to Survive]	[สู้เพื่ออยู่รอด]	以战养战
[Weakness Strike]	[เจาะจุดอ่อน]	弱点打击
[Quickdraw]	[มือปืนไว]	快枪手
[Bloodbath Hunter]	[นักล่าอาบเลือด]	浴血猎手
[Novice's Luck]	[ดวงมือใหม่]	新手强运
[Silenced]	[ไซเลนซ์]	沉默 — loanword; ติด[ไซเลนซ์] reads better than any Thai calque

# combat nouns that recur across pearls, relics and team skills
Main Weapon	อาวุธหลัก
Sub Weapon	อาวุธรอง	副武器/后台武器
Weapon Mastery	ความชำนาญอาวุธ	枪械精通
Weapon Balance	ความสมดุลอาวุธ	武器平衡
Resistance	ความต้านทาน	All Resistances = ความต้านทานทั้งหมด
Poise	ความมั่นคง	韧性
Vulnerability	เปราะบาง	易伤; "gain 30% Vulnerability" -> "ติดเปราะบาง 30%"
Affix	อัฟฟิกซ์	词条
Components	ชิ้นส่วน	零件, the dismantle currency
Overhealing	การฟื้นพลังส่วนเกิน	过量治疗
Fatal Hit	ความเสียหายถึงตาย	致命伤
Ultimate Gauge Gain	อัตราสะสมท่าไม้ตาย	必杀值获取率
Hub	จุดพัก	中转站, the between-stage waystation
Great Vault	แดนลับ	大秘藏 — same word as Secret Realm above, on purpose

# pearl name morphology
Prep: X	เตรียมรบ: X	战前准备, the five run-start pearls
Reminiscence	ความทรงจำ	追忆; "Raven's Reminiscence" -> "ความทรงจำของเรเวน"
Essence	แก่นแท้	真意; "Fool's Essence" -> "แก่นแท้คนโง่", no ของ
Amber	แอมเบอร์

# recurring description phrasing — keep identical across the effect tables
At the start of a run:	เมื่อเริ่มเกม:	对局开始时
After using Battle Skill:	หลังใช้สกิลรบ:
After entering combat:	หลังเข้าสู่การต่อสู้:
On entering Combat:	เมื่อเริ่มการต่อสู้:
When entering a shop:	เมื่อเข้าร้านค้า:
Once per stage.	จำกัด 1 ครั้งต่อด่าน
Can trigger at most once every N seconds	(ทำงานได้สูงสุด 1 ครั้งทุก N วินาที)
When defeating a Boss	กำจัดบอส
X yards	X หลา

# --- project-wide decisions (settled, do not re-litigate) ---
# Projectile stays ลูกกระสุน even though it sits close to Bullet = กระสุน. ZH 弹道 is literally
# a trajectory, but in a shooter "Projectile +1" means one more thing fired, and วิถีกระสุน
# would read as "trajectory +1", which is worse. Two batches already shipped ลูกกระสุน.
#
# Damage stays spelled out as ความเสียหาย, not ดาเมจ. It is long, and "Fire Battle Skill Damage"
# does become ความเสียหายสกิลรบเพลิง, but no overflow has actually been observed in game yet.
# Shortening on suspicion would cost a coordinated rewrite of every table for nothing. If real
# clipping shows up in a screenshot, that is the moment to switch - project-wide, in one pass.
trigger (transitive / passive)	กระตุ้น	per c_extraeffect. "effects trigger 1 more time" -> "ถูกกระตุ้นเพิ่มอีก 1 ครั้ง"
On triggering X:	เมื่อเกิดX:	the condition label keeps the relic-batch shape; the verb elsewhere is กระตุ้น

# --- added by c_extraeffect part 2 ---

# named states / labels new in this half
[Rapid Fire]	[ยิงเร็ว]	速射, the fire-rate stacking buff. Kept apart from ยิงรัว, the Repeating Arrow effect name
[Black Death]	[กาฬโรค]	黑死病
[Re-equip]	[เตรียมพร้อมใหม่]	重新整备 — a different token from [พักหายใจ] Brief Respite, do not merge them
Full-Charge Shot	ยิงตอนสะสมพลังเต็ม	满蓄射击时, the trigger label; the state alone stays สะสมพลังเต็ม

# stat nouns new in this half
Magazine Capacity	ความจุแม็กกาซีน	弹匣上限
Charge Speed	ความเร็วสะสมพลัง	蓄力速度; Charge Time stays เวลาสะสมพลัง
Weapon Spread	การกระจายของอาวุธ	武器散射
Elite Enemies	ศัตรูอีลิท	精英敌人
Pierce (the stat)	เจาะทะลุ	贯穿; "Pierce +1" -> "เจาะทะลุ +1"
Bullet Size	ขนาดกระสุน	子弹体积
Ultimate Gauge	ค่าท่าไม้ตาย	必杀值; the gain rate stays อัตราสะสมท่าไม้ตาย
Shooting Damage	ความเสียหายจากการยิง	射击伤害
Bullets deal {0}% <El> Damage	กระสุนเพิ่มความเสียหาย<ธาตุ> {0}%	子弹附带 — the whole weapon-affix family
[Transmutation] Buildup	ค่าสะสม[แปรปรวน]	head noun first, same shape as เพดานเปราะบางของ…

# recurring clause shapes settled here — reuse verbatim
The effect is removed at the end of the battle	หายเมื่อจบการต่อสู้
All stacks are removed after reloading	ล้างทั้งหมดหลังรีโหลด
Expires after reloading	หมดผลหลังรีโหลด
Instantly reload all bullets	เติมกระสุนเต็มทันที
is (also) considered a normal shot	นับเป็นการยิงปกติ(ด้วย)
Damage increases with distance	ยิ่งอยู่ไกลความเสียหายยิ่งสูง
upgrade to <rarity>	อัปเกรดเป็น<คุณภาพ>

# effect proper nouns
Spiral Bullet	กระสุนเกลียว	螺旋弹
Frost Grenade	ระเบิดเยือกแข็ง	冰霜榴弹
Acid Erosion Shot	กระสุนกัดกร่อน	酸蚀弹
Scorpion Stinger	เข็มหางแมงป่อง	蝎尾针; Scorpion Tail Bone stays กระดูกหางแมงป่อง
Thorn	หนาม	荆棘
Ice Shard	เศษน้ำแข็ง	冰屑
Starstone	หินดาว	星石
Meteor / Black Hole	อุกกาบาต / หลุมดำ	陨星 / 黑洞
Small Bullet	กระสุนเล็ก	小子弹
Air Cannon	กระสุนลม	空气炮, kept from part 1
Spirit Leaf / Giant Spirit Sword	ใบไม้วิญญาณ / กระบี่วิญญาณยักษ์	灵叶 / 巨灵剑
Crimson Lotus Trail	รอยบัวเพลิง	红莲之痕
Hollow-Point Bullet	กระสุนหัวรู	空尖弹
Gluttonous Maw / Gluttony Rift	ปากตะกละ / รอยแยกตะกละ	贪食血口 / 贪食裂隙
Repeating Arrow / Volley Arrow	ลูกศรต่อเนื่อง	连珠箭 — EN uses both names for the same projectile
Sword Force Wave	คลื่นกระบี่	剑气波
Geminate Shot	ยิงคู่	二连射
Wish Potion	ยาสมปรารถนา	愿望药水
Red Weapon Affix	อัฟฟิกซ์อาวุธแดง	红武词条 — untranslated placeholder rows in the source, kept literal
# --- added by the relic batch (c_relic_part2) ---
# Terms below were settled against everything already in this file; where part2 hit a term
# that was already here (Shatter, Adaptive Chance, Bullet Damage Cap, tarot names, Divine
# Lightning, Blood Moon) the existing entry won and part2 was rewritten to match.

# named triggers / conditions this table repeats hundreds of times
On Bullet Damage:	เมื่อกระสุนสร้างความเสียหาย:
On dealing damage:	เมื่อสร้างความเสียหาย:
On Kill:	เมื่อสังหาร:
When hit:	เมื่อถูกโจมตี:
On taking Fatal Hit:	เมื่อรับความเสียหายถึงตาย:
On entering a stage:	เมื่อเข้าด่าน:	stage = ด่าน throughout ("in this stage" = ในด่านนี้)
On gaining / On losing [Armor]:	เมื่อได้รับ / เมื่อเสีย [เกราะ]:
When you have [X]:	เมื่อมี [X]:
At {N} [Ember]:	เมื่อมี [เถ้าเพลิง] {N} ชั้น:	the stack-threshold label, same shape for [Growth]
At max stacks:	เมื่อซ้อนเต็ม:
During [Overload] state:	ระหว่างสถานะ [โอเวอร์โหลด]:
Dodge: (as a trigger label)	หลบ:
Full-Charge Shot:	สะสมพลังเต็ม:	matches "Full Charge สะสมพลังเต็ม" above; Charge Speed = ความเร็วสะสมพลัง
While charging:	เมื่อสะสมพลัง:

# stat and mechanic nouns
Battle Skill Cooldown	คูลดาวน์สกิลรบ
Ultimate Gauge	ค่าท่าไม้ตาย	"Restores X% Ultimate Gauge" = ฟื้นค่าท่าไม้ตาย X%; Buildup = อัตราสะสมท่าไม้ตาย
Charge Weapon	อาวุธสะสมพลัง
Dodge Distance	ระยะหลบ
Damage Range	ระยะความเสียหาย
Light Weapon	อาวุธเบา	轻型武器
