# key	thai
Pearl.Name.51101	เตรียมรบ: เหรียญ
Pearl.Description.51101	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับ 300 เหรียญ
Pearl.Description.51102	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับ<color=#d6b85b>[กระปุกออมสินของแลนนี]</color>
Pearl.Description.51103	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับ<color=#D77D3A>เรลิคตำนานปริศนา</color> 1 ชิ้น
Pearl.Description.51104	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับ<color=#d6b85b>[เหรียญนำโชคสารพัด]</color> 1 เหรียญ
Pearl.Description.51105	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับเอฟเฟกต์ของ<color=#d6b85b>[เตาหลอมเพลิง]</color> 2 และ<color=#d6b85b>[เบ้าหลอมแปรธาตุ]</color> 2 แบบถาวร
Pearl.Description.51201	เรลิคในหีบสมบัติและร้านค้าทั้งหมดเป็นเรลิคหลอมต้องห้าม
Pearl.Description.51202	<color=#d6b85b>เมื่อเข้าร้านค้า:</color> ได้รับ<color=#d6b85b>[ยาค้อนตำนาน]</color> 1 ขวด
Pearl.Description.51203	เมื่อซื้อไอเทมชิ้นแรกในร้านค้า จะได้รับสำเนาเพิ่ม 1 ชิ้น
Pearl.Description.51301	หลังรีเฟรชร้านค้า 7 ครั้ง ได้รับ<color=#D77D3A>เรลิคตำนานปริศนา</color> 1 ชิ้น
Pearl.Description.51302	ราคาสินค้าในร้านค้าลดลง 30%
Pearl.Description.51401	<color=#d6b85b>เมื่อยิง:</color> มีโอกาส 10% ให้กระสุนนัดนี้สร้างความเสียหาย +500%
Pearl.Description.51402	<color=#d6b85b>หลังใช้สกิลรบ:</color> การยิงครั้งถัดไปจะทำให้เกิดแปรปรวนของธาตุเรลิคที่คุณมี
Pearl.Description.51403	คูลดาวน์สกิลรบ -3 วินาที
Pearl.Description.51404	ต่อเรลิคที่พกอยู่ 1 ชิ้น ความเสียหายธาตุของธาตุนั้น +10%
Pearl.Description.51501	<color=#d6b85b>หลังใช้สกิลรบ:</color> ปล่อยลูกไฟ 16 ลูกกระจายออกรอบตัว สร้างความเสียหายธาตุอาวุธหลัก 200%
Pearl.Description.51502	<color=#d6b85b>หลังใช้ท่าไม้ตาย:</color> ปล่อยลูกไฟยักษ์ทะลุทะลวง 16 ลูก สร้างความเสียหายธาตุอาวุธหลัก 1000% ลูกไฟจะเรียกวังวนเพลิงที่สร้างความเสียหายธาตุอาวุธหลัก 50% ต่อวินาที นาน 3 วินาที
Pearl.Description.51503	<color=#d6b85b>หลังใช้สกิลรบ:</color> หนามงอกขึ้นใต้เท้าศัตรูทุกตัว สร้างความเสียหายธาตุอาวุธหลัก 100% และตรึงไว้ 1 วินาที
Pearl.Description.51504	<color=#d6b85b>หลังใช้สกิลรบ:</color> ยิงมีดขว้างทะลุทะลวงใส่ศัตรูที่อันตรายที่สุด สร้าง<color=#fff8cb>ความเสียหายจริง</color> 1000%
Pearl.Description.51505	<color=#d6b85b>เมื่อยิง:</color> มีโอกาสไดนามิก 80% เพิ่มวงล้อระบำ สร้าง<color=#e92f2f>ความเสียหายกายภาพ</color> 300%
Pearl.Description.51506	<color=#d6b85b>หลังเข้าสู่การต่อสู้:</color> เรียกวงแหวนไฟมรณะที่ตำแหน่งศัตรูใกล้สุด วงแหวนสร้าง<color=#f44f06>ความเสียหายเพลิง</color> 200% ต่อวินาที และจะเคลื่อนเข้าหาศัตรูที่ใกล้คุณที่สุดเสมอ
Pearl.Description.51507	<color=#d6b85b>เมื่อถูกโจมตี:</color> ขว้างก้อนครีมใส่ต้นตอการโจมตี สร้าง<color=#11f7ef>ความเสียหายเยือกแข็ง</color> 5000% และแช่แข็งศัตรูทั้งหมดในระยะ
Pearl.Description.51508	ทุก 2 วินาที เรียกอีกา 1 ตัว อีกาจะพุ่งชนศัตรูที่ใกล้ที่สุด สร้าง<color=#fff8cb>ความเสียหายจริง</color>เป็นวงกว้าง 50% และติดแปรปรวนแบบสุ่ม 1 อย่าง
Pearl.Description.51509	<color=#d6b85b>หลังใช้ท่าไม้ตาย:</color> เรียกภาพลวงของมือปืนนรกที่กราดยิงกระสุนเป็นรูปพัดไปทางที่คุณเล็ง สร้างความเสียหายธาตุอาวุธหลัก 300% ทุก 0.3 วินาที นาน 3 วินาที
Pearl.Description.51510	เมื่อสร้าง<color=#f44f06>ความเสียหายเพลิง</color>: ทุก 0.5 วินาที เรียกอุกกาบาตถล่มเป้าหมาย สร้างความเสียหายธาตุอาวุธหลัก 300% และทำให้เปราะบางต่อความเสียหายธาตุอาวุธหลัก 50% ทำงาน 3 ครั้ง
Pearl.Description.51511	<color=#d6b85b><link=\\"9032\\">[นัดสุดท้าย]:</link></color> ยิงลูกศรวิญญาณ ลูกศรวิญญาณสร้าง<color=#fff8cb>ความเสียหายจริง</color>เท่ากับ 100% ของพลังโจมตีกระสุน และได้รับผลจากจำนวนลูกกระสุน
Pearl.Description.51512	<color=#d6b85b>หลังใช้สกิลรบ:</color> พ่นโคลนแห่งความเป็นไปได้ สร้าง<color=#fff8cb>ความเสียหายจริง</color> 500% และทำให้ติดความกลัว จากนั้นพ่นน้ำตาจันทรา สร้าง<color=#fff8cb>ความเสียหายจริง</color> 200%
Pearl.Description.51513	<color=#d6b85b>หลังเข้าสู่การต่อสู้:</color> ทุก 3 วินาที ปล่อยคลื่นดาบมิติ 1-3 ครั้งใส่ศัตรูรอบตัวทั้งหมด แต่ละครั้งสร้าง<color=#fff8cb>ความเสียหายจริง</color> 150%
Pearl.Description.51514	<color=#d6b85b>หลังใช้ท่าไม้ตาย:</color> หลังหน่วงเล็กน้อย ปล่อยคลื่นทัณฑ์สวรรค์ใส่ศัตรูที่ใกล้ที่สุด สร้างความเสียหายธาตุอาวุธหลัก 4000% ต่อวินาที นาน 3 วินาที
Pearl.Description.51901	เอฟเฟกต์ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Pearl.Description.51902	<color=#d6b85b>หลังใช้สกิลรบ:</color> ศัตรูทั้งหมดกลายเป็น<color=#d6b85b>[กระต่าย]</color> นาน 2 วินาที ความเสียหายที่คุณทำต่อ<color=#d6b85b>[กระต่าย]</color> +50%
Pearl.Description.51903	หลังได้รับความเสียหาย ได้รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> เท่ากับความเสียหายที่ได้รับ
Pearl.Description.51904	เมื่อแยกชิ้นส่วน จะคืนไอเทมประเภทเดียวกัน 1 ชิ้น จำกัด 1 ครั้งต่อด่าน
Pearl.Description.51905	ความเสียหายและการฟื้นพลังทั้งหมดของคุณคริติคอลได้
Pearl.Description.51906	เมื่อศัตรูตาย: รีเซ็ตคูลดาวน์สกิลรบของคุณ
Pearl.Description.51907	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับเอฟเฟกต์ของ<color=#d6b85b>[ไพ่ทาโรต์ - คู่รัก]</color> และ<color=#d6b85b>[ของขวัญคู่รัก]</color> แบบถาวร
Pearl.Description.51908	ระยะหลบ +75% สร้าง<color=#f44f06>ความเสียหายเพลิง</color> 100% และ<color=#f7e301>ความเสียหายสายฟ้า</color> 100% แก่ศัตรูที่อยู่บนเส้นทาง
Pearl.Description.51909	เอฟเฟกต์เพิ่มความเสียหายที่ได้รับไม่มีผลกับคุณ และลดความเสียหายทั้งหมด 20%
Pearl.Description.51910	เมื่อไม่มีศัตรูในระยะ 500 หลา ลดความเสียหายทั้งหมด 30%
Pearl.Description.51911	เมื่อเลือกเรลิค รีเฟรชได้เพิ่มอีก 1 ครั้ง
Pearl.Description.51912	พลังชีวิตที่ฟื้นในร้านค้าและจุดพักจะแปลงเป็น <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> เท่ากัน
Pearl.Description.51913	เอฟเฟกต์ <link=\\"9022\\"><color=#d6b85b>[แตกสลาย]</color></link> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Pearl.Description.51914	เอฟเฟกต์ <color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Pearl.Description.51915	ไอเทมชิ้นแรกที่ซื้อในร้านค้าฟรี
Pearl.Description.51916	เมื่อผ่านด่าน ถ้าไม่ได้รับความเสียหายเลยในด่านนั้น จะดรอปไอเทมคุณภาพ<color=#bd30e7>มหากาพย์</color>ขึ้นไป 1 ชิ้น
Pearl.Description.51917	<color=#d6b85b>เมื่อเริ่มเกม:</color> ได้รับ<color=#d6b85b>[กุญแจหอคอย]</color>
Pearl.Description.51918	หลังทีมล้มทั้งหมด ทุกคนฟื้นคืนชีพด้วยพลังชีวิต 100% จำกัด 1 ครั้ง
Pearl.Description.51919	เมื่อเกิดแปรปรวน ได้รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 1 และเพดาน <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> +999
Pearl.Description.51920	ตัวใหญ่ขึ้น ได้รับพลังชีวิตพื้นฐาน 100 ความเสียหายธาตุทั้งหมด +20%
Pearl.Description.51921	เมื่อสร้างความเสียหาย มีโอกาส 10% สร้างความเสียหาย 10 เท่า ถ้าไม่ติด โอกาสเพิ่มขึ้น 10% และรีเซ็ตหลังทำงาน
Pearl.Description.51922	<color=#d6b85b>เมื่อเข้าร้านค้า:</color> ได้รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> 2 <color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color> 2 และ <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> 2 ทำซ้ำ 10 ครั้ง
Pearl.Description.52101	เมื่อศัตรูได้รับ<color=#f44f06>ความเสียหายเพลิง</color> จะปล่อยเสาเพลิงใส่ผู้เล่นทุกคน
Pearl.Description.52102	เมื่อศัตรูได้รับ<color=#e92f2f>ความเสียหายกายภาพ</color> จะปล่อยกระสุนกระจายรอบตัว
Pearl.Description.52103	เมื่อศัตรูได้รับ<color=#3dda4f>ความเสียหายกรด</color> จะทิ้งบ่อพิษไว้ที่ตำแหน่งนั้น
Pearl.Description.52104	หลังศัตรูได้รับ<color=#f7e301>ความเสียหายสายฟ้า</color> จะอมตะ 1 วินาที
Pearl.Description.52105	ขณะได้รับ<color=#11f7ef>ความเสียหายเยือกแข็ง</color> ศัตรูจะภูมิคุ้มกันเอฟเฟกต์ควบคุมทั้งหมด
Pearl.Description.52201	มอนสเตอร์ทั้งหมดได้รับความมั่นคง +50% และความต้านทานทั้งหมด +10%
Pearl.Description.52202	มอนสเตอร์ทั้งหมดมีความมั่นคงเต็ม และความต้านทานทั้งหมด +30%
Pearl.Description.52301	ศัตรูบางตัวมีอัฟฟิกซ์แบบสุ่ม 1 อย่าง
Pearl.Description.52302	ศัตรูบางตัวมีอัฟฟิกซ์แบบสุ่ม 2 อย่าง
Pearl.Description.52303	ศัตรูบางตัวมีอัฟฟิกซ์แบบสุ่ม 3 อย่าง
Pearl.Description.52401	คูลดาวน์สกิลรบ +50%
Pearl.Description.52402	อัตรายิงและความเร็วรีโหลดพื้นฐาน -33%
Pearl.Description.52403	คูลดาวน์สกิลรบ +100%
Pearl.Description.52404	อัตรายิงและความเร็วรีโหลดพื้นฐาน -50%
Pearl.Description.52501	ทุก 1 แต้มที่ <color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color> และ <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> ต่างกัน ความเสียหายที่คุณได้รับ +2%
Pearl.Description.52502	<color=#d6b85b>เมื่อเริ่มการต่อสู้:</color> ระยะการมองเห็นของคุณลดลง 50%
Pearl.Description.52503	<color=#d6b85b>เมื่อเริ่มการต่อสู้:</color> คุณเสียพลังชีวิต 1% ต่อวินาที และได้คืนเท่าเดิมเมื่อจบการต่อสู้
Pearl.Description.52504	หลังได้รับความเสียหาย 3 วินาที คุณจะติด<color=#d6b85b>[ไซเลนซ์]</color>
Pearl.Description.52505	ต่อศัตรู 1 ตัวในระยะ 300 หลา คุณเสียพลังชีวิต 1% ต่อวินาที
Pearl.Description.52506	ขณะอยู่ในการต่อสู้ คุณจะเคลื่อนที่ไปในทิศทางล่าสุดตลอดเวลา
Pearl.Description.52507	การรีโหลดของคุณมีโอกาสล้มเหลว 30%
Pearl.Description.52508	ความเสียหายของศัตรูมีโอกาสคริติคอล 30%
Pearl.Description.52509	การหลบมีคูลดาวน์ 1 วินาที
Pearl.Description.52510	พลังชีวิตของคุณฟื้นได้สูงสุดแค่ 70%
Pearl.Description.52511	<color=#d6b85b>เมื่อเข้าจุดพัก:</color> แยกชิ้นส่วนเรลิคคุณภาพต่ำสุด 5 ชิ้นโดยอัตโนมัติ
Pearl.Description.52601	เมื่อศัตรูตาย ศัตรูตัวอื่นจะได้รับพลังโจมตี +10% จนจบการต่อสู้
Pearl.Description.52602	เมื่อศัตรูสร้างความเสียหายแก่คุณ มันจะฟื้นพลังชีวิต 50% บอสฟื้น 10% แทน
Pearl.Description.52603	เมื่อศัตรูตาย ศพจะเกิดระเบิดน้ำแข็งที่แช่แข็งคุณ
Pearl.Description.52604	เมื่อศัตรูตาย จะทิ้งบ่อพิษที่ไม่หายไปไว้ที่เดิม
Pearl.Description.52605	เมื่อศัตรูมีพลังชีวิตต่ำกว่า 10% มันจะอมตะ 5 วินาที
Pearl.Description.52701	พลังชีวิตของบอส +100% ความเสียหายที่สร้าง +20%
Pearl.Description.52702	พลังชีวิตของศัตรูที่ไม่ใช่บอส +100% ความเสียหายที่สร้าง +20%
Pearl.Description.52801	<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>: เรียกหอยทากมีพิษร้ายที่คอยไล่ล่าคุณ
Pearl.Description.52802	ไคเมร่าสังหารจะไล่ล่าคุณ
Pearl.Description.52803	ผู้นำลัทธิรักษาจะไล่ล่าคุณ
Pearl.Description.52901	เอฟเฟกต์ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color> ของคุณมีโอกาสล้มเหลว 50%
Pearl.Description.52902	<color=#d6b85b><link=\\"9031\\">[นัดแรก]</link></color>: มีโอกาส 30% ลำกล้องระเบิดและเสียกระสุนทั้งหมด
Pearl.Description.52903	ต่อพลังชีวิตส่วนเกิน 1% ที่คุณมี ความเสียหายที่คุณได้รับทั้งหมด +0.5%
Pearl.Description.52904	การแยกชิ้นส่วนไอเทมจะไม่ได้รับเหรียญ
Pearl.Description.52905	คริติคอลไม่ได้
Pearl.Description.52906	คุณถูกตัดสินว่าเป็นคนนอกรีต และรับการรักษาในร้านค้าไม่ได้
Pearl.Description.52907	ทำลายช่องอาวุธรองของคุณ
Pearl.Description.52908	หลังหลบ จะไถลต่ออีก 0.5 วินาที
Pearl.Description.52909	ทุกครั้งที่ได้รับความเสียหาย จะติดเปราะบาง 33% เพิ่ม 1 ชั้น ล้างเมื่อผ่านด่าน
Pearl.Description.52910	เมื่อไม่มีศัตรูในระยะ 700 หลา คุณจะติด<color=#d6b85b>[ไซเลนซ์]</color>
Pearl.Description.52911	เมื่อเปิดหีบผ่านด่าน มีโอกาส 33% ที่จะไม่ได้รางวัล
Pearl.Description.52912	การโจมตีของศัตรูจะข้าม <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> และสร้างความเสียหายแก่คุณโดยตรง
Pearl.Description.52913	เอฟเฟกต์ <link=\\"9022\\"><color=#d6b85b>[แตกสลาย]</color></link> ของคุณมีโอกาสล้มเหลว 50%
Pearl.Description.52914	เอฟเฟกต์ <color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color> ของคุณมีโอกาสล้มเหลว 50%
Pearl.Description.52915	หลังซื้อไอเทมในร้านค้า ราคาสินค้าจะเพิ่มขึ้น 20% ถาวร
Pearl.Description.52916	ต่อไอเทมตำนานที่พกอยู่ 1 ชิ้น คุณจะติดเปราะบาง 30%
Pearl.Description.52917	ช่องไพ่ทาโรต์ -2
Pearl.Description.52918	สกิลชุบชีวิตทั้งหมดใช้ไม่ได้ และช่วยเพื่อนร่วมทีมในการต่อสู้ไม่ได้
Pearl.Description.52919	ศัตรูรับเอฟเฟกต์แปรปรวนได้สูงสุด 1 ครั้งต่อวินาที
Pearl.Description.52920	ตัวเล็กลง ศัตรูทั้งหมดสร้างความเสียหายแก่คุณ +50%
Pearl.Description.52921	เมื่อพลังชีวิตต่ำกว่า 50% การได้รับความเสียหายจะทำให้ตายทันที
Pearl.Description.52922	ช่องเรลิค -4
