# key	thai
FightingTalk.Manual.1	พวกนอกรีตทั้งหลาย ไปตายซะ!
FightingTalk.Manual.46	คราวหน้า... ยังมาเล่น... กับเราได้ไหม?
FightingTalk.Manual.47	ในนามอัศวินเทพธิดา ฉันจะทำตามคำปรารถนาสุดท้ายของพระนางให้สำเร็จ
FightingTalk.Manual.48	ฉันปกป้องวินาทีที่เทพธิดาลงมาไม่ได้... งั้นก็จะปกป้องความโกรธของพระนางแทน
FightingTalk.Manual.49	บาปนี้ ให้ดาบเป็นผู้ชำระ!
FightingTalk.Manual.50	ถอยไป ทางนี้ถูกปิดด้วยบาปของฉัน
FightingTalk.Manual.51	ร่างนี้ จะกลายเป็นดาบของเทพธิดา!
FightingTalk.Manual.52	เทพธิดา... โลเรไล... ทำหน้าที่ไม่สำเร็จ...
FightingTalk.Manual.53	ขอบคุณทุกคนที่มาร่วมงาน...? วันเกิด? พิธี? ฉันจะพยายามนะ จะไม่ทำให้ความรักของทุกคนเสียเปล่า...
FightingTalk.Manual.54	อา เสียงปรบมือของทุกคนเพราะจริง ๆ แต่ทำไมมือทุกคนถึงเปื้อนเลือดล่ะ?
FightingTalk.Manual.55	ท่านพ่อบอกไว้ว่า เนื้อเพลงทุกท่อนต้องร้องจนจบด้วยรอยยิ้ม...
FightingTalk.Manual.56	ทุกคนบอกว่ารักฉัน... งั้นก็อยู่ตรงนี้แล้วรักฉันตลอดไปสิ
FightingTalk.Manual.57	งานฉลองยังไม่จบใช่ไหม?
FightingTalk.Manual.58	ต่อไปขอมอบเพลงที่สองให้ทุกคน มาเต้นด้วยกันสิ!
FightingTalk.Manual.59	ท่านพ่อ ฉันจะนำความสงบสุขมาสู่โลกนี้ให้ได้...
FightingTalk.Manual.60	ฉันส่งต่อความสุขให้ทุกคนได้ดีไหม? ท่านพ่อ...
FightingTalk.Manual.61	ขอให้ทุกคนหยุดฟังเสียงเพลงของฉันสักครู่ได้ไหม?
FightingTalk.Manual.62	ยัง... จบไม่ได้...
FightingTalk.Manual.63	ถ้ามีครั้งหน้า... ช่วยฉันที... ก่อนที่ฉันจะร้องเพลง...
FightingTalk.Manual.64	ไอ้พวกไร้ประโยชน์! สุดท้ายก็ต้องลงมือเอง!
FightingTalk.Manual.65	พระเจ้า โปรดประทานไฟศักดิ์สิทธิ์ ชำระล้างศัตรูที่บุกรุกให้สิ้นซาก!
FightingTalk.Manual.66	ไฟศักดิ์สิทธิ์ลงสู่โลก ชำระบาปลวงทั้งมวลให้สิ้น พวกนอกรีตจงถูกเผา!
FightingTalk.Manual.67	พวกดื้อรั้นจะถูกฝังในเปลวเพลิงศักดิ์สิทธิ์!
FightingTalk.Manual.68	หนีไม่พ้นหรอก... ลัทธิจะ... ตามหาพวกแกจนเจอ...
FightingTalk.Manual.69	ตามบัญชาสูงสุดของลัทธิสุริยัน ชำระล้างสิ่งปนเปื้อนทั้งหมด นำพลังเทพธิดากลับคืน ไม่เหลือใครไว้!
FightingTalk.Manual.310824	อลิเซีย ไม่ต้องดิ้นรนแล้ว ภาระนี้ให้พี่สาวรับไปเอง...
